university_name,degree_program_link,program_name,degree_type,campuses,program_link
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,"Design, Technology and Management",Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/theatre-design-technology-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Digital Media,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/digital-media-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Disability Studies,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/disability-studies.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Doctor of Pharmacy,Pharm.D.,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/pharm-d.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Drawing,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/drawing-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Early Childhood Education,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/early-childhood-education-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Early Childhood Special Education (Birth to Five),Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/early-childhood-special-education-birth-to-five.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Ecology and Evolution,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/ecology-evolution-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Economics,Bachelor of Science in Economics (B.S.E.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/economics-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Economics,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/economics-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Economics,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/economics-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Economics,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/economics-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Education,Doctor of Education (Ed.D.),Online,https://www.uwyo.edu/uw/degree-programs/education-edd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Education,Master of Arts (M.A.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/education-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Educational Leadership Concentration,Doctor of Education (Ed.D.),Online,https://www.uwyo.edu/uw/degree-programs/educational-leadership-edd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Educational Leadership Concentration,Master of Arts (M.A.),Online,https://www.uwyo.edu/uw/degree-programs/educational-leadership-masters.html
